start,end,transcription,source,lang
34.41657142857143,35.333,üteʒikogu ,YIF_NP_196X_Drinking_conv.mp3,sel
44.44,45.4,a ,YIF_NP_196X_Drinking_conv.mp3,sel
45.4,46.36,tabnan ,YIF_NP_196X_Drinking_conv.mp3,sel
46.36,47.32,uʒe ,YIF_NP_196X_Drinking_conv.mp3,sel
47.32,48.28,davno ,YIF_NP_196X_Drinking_conv.mp3,sel
48.28,49.24,üteʒimbadet ,YIF_NP_196X_Drinking_conv.mp3,sel
49.24,50.2,i ,YIF_NP_196X_Drinking_conv.mp3,sel
50.2,51.16,wes ,YIF_NP_196X_Drinking_conv.mp3,sel
51.16,52.12,pone ,YIF_NP_196X_Drinking_conv.mp3,sel
52.12,53.08,t͡ʃat͡ʃembadet ,YIF_NP_196X_Drinking_conv.mp3,sel
53.08,54.04,kotte ,YIF_NP_196X_Drinking_conv.mp3,sel
54.04,55.0,wes ,YIF_NP_196X_Drinking_conv.mp3,sel
3.29,3.8766666666666665,dmg ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
3.8766666666666665,4.463333333333333,t͡ʃobər ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
4.463333333333333,5.05,wadendegu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
5.05,5.636666666666668,nada ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
5.636666666666668,6.223333333333333,t͡ʃidəm ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
6.223333333333333,6.81,meɣəlgu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
7.22,8.012599999999999,nada ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
8.012599999999999,8.8052,ʃepœtkinte ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
8.8052,9.5978,ʃuran ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
9.5978,10.3904,qœʃkugu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
10.3904,11.183,matalotkahe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
11.775,12.363333333333333,qœʃkugu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
12.363333333333333,12.951666666666664,pekkɨrgu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
12.951666666666664,13.54,nada ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
18.63,19.0385,nada ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
19.0385,19.447,budʲet ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
23.894000000000002,24.291666666666664,kut͡ʃat ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
24.291666666666664,24.68933333333333,twe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
24.68933333333333,25.087,eːja ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
25.586,26.071571428571428,nado ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
26.071571428571428,26.557142857142853,megu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
26.557142857142853,27.042714285714286,t͡ʃidəp ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
27.042714285714286,27.528285714285712,paka ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
27.528285714285712,28.01385714285714,t͡ʃobər ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
28.01385714285714,28.49942857142857,aː ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
28.49942857142857,28.985,muʒempa ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
29.061,29.543857142857146,t͡ʃobər ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
29.543857142857146,30.026714285714288,muʒla  ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
30.026714285714288,30.50957142857143,taɣda ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
30.50957142857143,30.992428571428572,nʲekogdɨ ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
30.992428571428572,31.475285714285718,iːla ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
31.475285714285718,31.958142857142853,t͡ʃidəl ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
31.958142857142853,32.441,mergu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
32.971,33.385999999999996,tatjana ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
33.385999999999996,33.800999999999995,semœnna ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
33.800999999999995,34.215999999999994,naj ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
34.215999999999994,34.631,meka ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
34.631,35.046,t͡ʃent͡ʃɨha ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
35.046,35.461,tenta ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
35.461,35.876,gawart ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
35.876,36.291,qaj ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
36.291,36.705999999999996,eqəlʲem ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
36.705999999999996,37.121,twej ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
37.121,37.536,karɨtɨ ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
37.536,37.951,t͡ʃidəm ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
37.951,38.366,meka ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
38.366,38.781,meːʃ ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
39.001,39.38433333333333,a ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
39.38433333333333,39.767666666666656,mat ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
39.767666666666656,40.150999999999996,taben ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
40.150999999999996,40.53433333333333,nɨlʲʒik ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
40.53433333333333,40.91766666666667,eːʒalgwak ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
40.91766666666667,41.301,meka ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
41.301,41.684333333333335,palʲlʲitrap ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
41.684333333333335,42.06766666666667,t͡ʃot͡ʃɨlʲe  ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
42.06766666666667,42.451,melʲebe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
57.785,58.42825,nada ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
58.42825,59.0715,sobotaɣɨt ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
59.0715,59.71475,matalotkəhe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
59.71475,60.358000000000004,qœʃkugu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
61.433,61.91366666666666,pʲa ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
61.91366666666666,62.39433333333334,tɨna ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
62.39433333333334,62.875,devjatəj ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
62.875,63.35566666666666,pesoŋ ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
63.35566666666666,63.83633333333334,qœʃkugu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
63.83633333333334,64.31700000000001,nada ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
64.31700000000001,64.79766666666667,budʲet ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
64.79766666666667,65.27833333333334,i ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
65.27833333333334,65.759,kɨrgu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
66.687,67.0086,i ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
67.0086,67.3302,t͡ʃidem ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
67.3302,67.6518,man ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
67.6518,67.9734,megu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
67.9734,68.295,tanwak ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
70.918,71.257,toʒe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
73.008,73.26249999999997,toʒe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
73.26249999999997,73.517,tanut ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
80.41,80.916,ara ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
80.916,81.422,lofkal ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
81.422,81.928,ara ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
82.406,82.774,lofkal ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
82.774,83.14200000000002,ara ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
84.314,85.01499999999999,qaʒəntama ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
85.01499999999999,85.71600000000002,tanut ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
86.178,86.65975,kod ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
86.65975,87.14150000000002,kaʒəmɨndɨ ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
87.14150000000002,87.62325,gladimbugu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
87.62325,88.105,nada ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
91.16799999999999,91.60284615384614,no ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
91.60284615384614,92.03769230769232,potom ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
92.03769230769232,92.47253846153843,na ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
92.47253846153843,92.9073846153846,twe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
92.9073846153846,93.34223076923077,wes ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
93.34223076923077,93.77707692307692,meluhe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
93.77707692307692,94.21192307692309,i ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
94.21192307692309,94.64676923076924,t͡ʃobər ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
94.64676923076924,95.0816153846154,wadeʃpukwam ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
95.0816153846154,95.51646153846157,t͡ʃobər ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
95.51646153846157,95.95130769230772,muʒla  ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
95.95130769230772,96.38615384615385,t͡ʃobər ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
96.38615384615385,96.821,wadeʃpluhe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
96.821,97.37225,nada ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
97.37225,97.9235,t͡ʃobər ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
97.9235,98.47475,wadegu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
98.47475,99.02600000000001,xaraʃenʲkak ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
99.02600000000001,99.38799999999999,tapon ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
99.38799999999999,99.75,uruk ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
99.75,100.11200000000001,t͡ʃobərlə ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
100.11200000000001,100.47399999999999,bo ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
103.802,104.5725,nowosibirskan ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
104.5725,105.34299999999999,qwellajhe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
108.60700000000001,108.821,a ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
108.821,109.035,mannan ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
109.678,110.00299999999999,a ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
110.00299999999999,110.32799999999999,tannan ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
110.32799999999999,110.65299999999999,nat͡ʃʲin ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
110.65299999999999,110.978,lʲutka ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
110.978,111.303,wargəla ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
113.447,113.73700000000001,a ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
113.73700000000001,114.027,man ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
114.027,114.31700000000001,iʃo ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
114.31700000000001,114.60700000000001,tomskaɣen ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
114.60700000000001,114.897,nem ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
114.897,115.18700000000001,eːja ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
122.24,122.8436,mi ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
122.8436,123.4472,tanoptə ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
123.4472,124.0508,wezʲdʲe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
124.0508,124.6544,qwajakkulajhe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
124.6544,125.258,patom ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
125.723,126.29583333333332,pajawlebule ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
126.29583333333332,126.86866666666668,poka ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
126.86866666666668,127.4415,aː ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
127.4415,128.01433333333333,kul ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
128.01433333333333,128.58716666666666,aː ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
128.58716666666666,129.16,kulaj ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
130.035,130.45600000000002,anʲiʒe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
130.45600000000002,130.877,qaj ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
130.877,131.298,amʒa ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
134.577,135.06875,mat ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
135.06875,135.5605,tarbak ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
135.5605,136.05225000000002,aː ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
136.05225000000002,136.54399999999998,kulajhe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
6.96,7.2255,nu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
7.2255,7.4910000000000005,dak ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
14.42,14.766363636363636,no ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
14.766363636363636,15.112727272727273,mat ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
15.112727272727273,15.459090909090907,aram ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
15.459090909090907,15.805454545454545,nada ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
15.805454545454545,16.151818181818182,s ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
16.151818181818182,16.49818181818182,soboj ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
16.49818181818182,16.844545454545454,igu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
16.844545454545454,17.19090909090909,tab ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
17.19090909090909,17.53727272727273,tanut ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
17.53727272727273,17.883636363636363,konəkek ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
17.883636363636363,18.23,tweda ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
18.585,19.513571428571428,sana ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
19.513571428571428,20.44214285714286,arap ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
20.44214285714286,21.37071428571429,kwergu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
21.37071428571429,22.299285714285716,taɣda ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
22.299285714285716,23.227857142857147,mixail ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
23.227857142857147,24.15642857142857,lawrentʲit͡ʃəp ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
24.15642857142857,25.085,pʲisatilʲna ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
43.211999999999996,43.60440000000001,no ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
43.60440000000001,43.9968,a ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
43.9968,44.3892,tabə ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
44.3892,44.78160000000001,prailʲna ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
44.78160000000001,45.17400000000001,bes ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
45.17400000000001,45.5664,pallʲitra ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
45.5664,45.9588,qaj ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
45.9588,46.35120000000001,tarom ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
46.35120000000001,46.7436,kodə ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
46.7436,47.136,melʲdɨ ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
47.405,47.82588888888889,man ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
47.82588888888889,48.24677777777778,aram ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
48.24677777777778,48.66766666666667,nɨlʲʒik ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
48.66766666666667,49.08855555555557,ʒe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
49.08855555555557,49.509444444444426,kod ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
49.509444444444426,49.93033333333333,pallʲitra ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
49.93033333333333,50.351222222222226,t͡ʃut͡ʃelde ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
50.351222222222226,50.77211111111111,tabə ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
50.77211111111111,51.19300000000001,melʲdɨ ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
51.235,51.5548,a ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
51.5548,51.8746,twe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
51.8746,52.1944,tab ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
52.1944,52.5142,fsʲeɣda ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
52.5142,52.833999999999996,kɨrɨldɨ ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
52.833999999999996,53.27200000000001,tab ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
53.27200000000001,53.71,tanut ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
53.71,54.148,kut͡ʃʲat ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
54.148,54.58600000000001,es ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
54.58600000000001,55.023999999999994,swa ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
55.023999999999994,55.461999999999996,twedə ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
56.343999999999994,56.68125,no ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
56.68125,57.0185,tab ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
57.0185,57.35575,wesʲ ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
57.35575,57.69300000000001,tanut ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
65.982,66.33449999999999,nu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
66.33449999999999,66.687,dak ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
69.16,69.490375,a ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
69.490375,69.82075,man ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
69.82075,70.151125,aram ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
70.151125,70.4815,toʒe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
70.4815,70.811875,tanut ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
70.811875,71.14224999999998,nʲe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
71.14224999999998,71.472625,xuʒe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
71.472625,71.803,tanat ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
72.848,73.31533333333333,üteʒegu ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
73.31533333333333,73.78266666666667,toʒe ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
73.78266666666667,74.25,tanut ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
74.714,75.214,kot ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
75.214,75.714,pallʲitran ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
75.714,76.214,tadəlde  ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
76.214,76.714,tab ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
76.714,77.214,o ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
77.214,77.714,ʃo ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
77.714,78.214,swa ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
78.214,78.714,melde ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
78.714,79.214,wes ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
79.214,79.714,tab ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
79.714,80.214,t͡ʃidəmdə ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
81.25,81.63066666666667, ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
81.63066666666667,82.01133333333333,lofkak ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
82.01133333333333,82.39200000000002,manam ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
82.695,83.13866666666667,xotʲ ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
83.13866666666667,83.58233333333331,skolʲka ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
83.58233333333331,84.02600000000002,aɣukwa ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
84.315,85.781, ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
86.256,87.03200000000002, ,YIF_NP_196X_WeShouldMakeBaskets_conv.mp3,sel
